mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,label,file,ZCR,Pitch
34.082504,67.21427,-10.505094,12.1754465,-1.9832888,4.6315765,-0.2503114,3.1135952,-3.0167403,-0.03885088,-4.8956485,-0.8261939,1.0631676,-0.99005234,-1.0244001,-1.1886019,-2.808294,0.309119,-2.0431216,-1.9840811,Angry,cleaned_03-01-05-01-01-01-01_1.0158730158730158s_to_2.8792743764172335s.wav,0.26556578,61.759285
52.10403,62.239346,-11.639486,7.64014,0.6622414,2.8780313,-3.3329077,0.48432013,-3.578567,-2.5489888,-1.2757071,-0.021624027,0.27867815,-2.9556966,-2.9889631,-0.6996409,-1.2429233,-1.9841415,-3.600157,-2.9437742,Angry,cleaned_03-01-05-01-01-01-02_1.0158730158730158s_to_2.6760997732426306s.wav,0.23538713,64.06232
50.10307,62.81383,-11.37078,7.5530686,0.5620247,2.9157546,-3.3160167,0.48829812,-3.683688,-2.5893388,-1.2434918,0.08295533,0.30056402,-3.0189004,-3.1086833,-0.8386979,-1.2980039,-2.0745282,-3.6983526,-2.9940546,Angry,cleaned_03-01-05-01-01-01-02_1.0158730158730158s_to_2.681904761904762s.wav,0.2346159,63.680534
31.233345,68.77739,-0.32722616,15.069108,2.309736,7.5460644,-2.809298,0.16999726,-2.789866,-2.3824198,-1.2536858,-0.16253996,1.5266459,0.2243973,-1.0949696,-0.36677846,-1.5959731,0.16412559,-2.3531065,-0.5861431,Angry,cleaned_03-01-05-01-01-01-03_0.9694331065759637s_to_3.105668934240363s.wav,0.23694399,56.04782
-47.039433,71.13277,-0.9345988,15.825989,4.109401,11.555878,-1.2554358,3.446608,-4.1889386,-3.5590715,-1.1009089,-0.20705773,0.72417283,-0.4904468,-0.7773819,-0.19517954,-2.16611,-0.62236017,-1.9441552,-0.111497834,Angry,cleaned_03-01-05-01-01-01-03_0.9694331065759637s_to_3.982222222222222s.wav,0.23757891,54.942554
34.04354,59.181652,-16.839518,6.9538417,0.7743429,1.0721574,-3.554822,0.6186917,-4.9585567,-3.3623257,-1.7969197,-2.2418692,-4.2189994,-2.9083736,-3.502233,-0.5951164,-3.1668591,-4.8177834,-4.231113,-0.9295499,Angry,cleaned_03-01-05-01-01-01-04_1.0100680272108844s_to_2.6760997732426306s.wav,0.23579432,59.223576
32.584793,59.90969,-16.651321,6.637216,0.59716177,1.4116473,-3.6264796,0.5109576,-5.050744,-3.4594092,-1.8248127,-2.1736357,-4.2186055,-2.8927574,-3.5460098,-0.53209263,-3.1398876,-4.8731217,-4.2998295,-0.9303066,Angry,cleaned_03-01-05-01-01-01-04_1.0100680272108844s_to_2.693514739229025s.wav,0.23474085,59.083805
29.292543,76.81995,-11.455492,8.580678,0.96001655,5.255295,-5.127923,0.19026066,-2.001651,-2.124369,-2.5090427,-3.2882543,-0.68573016,0.09216599,-2.8847198,-1.2212623,-2.3606558,0.09310026,0.58678615,-1.4341171,Angry,cleaned_03-01-05-01-01-01-05_0.9984580498866213s_to_2.9257142857142857s.wav,0.22456436,58.86757
27.79238,77.31237,-11.241385,8.542577,0.8495723,5.260977,-5.0821037,0.23821,-2.0077484,-2.1894257,-2.5240283,-3.3122203,-0.69419605,0.103032164,-2.848057,-1.1945603,-2.318313,0.14279449,0.57677925,-1.4394106,Angry,cleaned_03-01-05-01-01-01-05_0.9984580498866213s_to_2.9315192743764173s.wav,0.22404242,58.619297
53.85586,54.30914,-12.015683,3.101231,-1.0362376,4.0282526,-2.9309435,1.5354607,-2.387749,-2.1709218,-0.6120854,-0.7857519,-2.1618538,-4.1884503,-3.2379992,-2.4424455,-2.65566,-1.8661106,-3.3933864,-2.1814725,Angry,cleaned_03-01-05-01-01-01-06_1.0100680272108844s_to_2.896689342403628s.wav,0.27804586,61.25721
